,NFL Team,W,L,T,PCT,PF,PA,Net Pts,Home,Road,Div,Pct,Conf,Pct,Non-Conf,Strk,Last 5
0,Atlanta FalconsFalcons,0,3,0,0.000,30,79,-49,0 - 2 - 0,0 - 1 - 0,0 - 0 - 0,0.000,0 - 0 - 0,0.000,0 - 3 - 0,3L,0 - 3 - 0
1,Dallas CowboysCowboys,0,4,0,0.000,47,89,-42,0 - 2 - 0,0 - 2 - 0,0 - 0 - 0,0.000,0 - 1 - 0,0.000,0 - 3 - 0,4L,0 - 4 - 0
2,Detroit LionsLions,0,3,0,0.000,52,69,-17,0 - 2 - 0,0 - 1 - 0,0 - 0 - 0,0.000,0 - 0 - 0,0.000,0 - 3 - 0,3L,0 - 3 - 0
3,Green Bay PackersPackers,0,3,0,0.000,21,68,-47,0 - 2 - 0,0 - 1 - 0,0 - 0 - 0,0.000,0 - 0 - 0,0.000,0 - 3 - 0,3L,0 - 3 - 0
4,Los Angeles RamsRams,0,3,0,0.000,34,47,-13,0 - 2 - 0,0 - 1 - 0,0 - 0 - 0,0.000,0 - 0 - 0,0.000,0 - 3 - 0,3L,0 - 3 - 0
5,Minnesota VikingsVikings,0,3,0,0.000,41,73,-32,0 - 2 - 0,0 - 1 - 0,0 - 0 - 0,0.000,0 - 0 - 0,0.000,0 - 3 - 0,3L,0 - 3 - 0
6,New York GiantsGiants,0,3,0,0.000,40,51,-11,0 - 2 - 0,0 - 1 - 0,0 - 0 - 0,0.000,0 - 0 - 0,0.000,0 - 3 - 0,3L,0 - 3 - 0
7,Philadelphia EaglesEagles,0,2,1,0.167,47,90,-43,0 - 2 - 0,0 - 0 - 1,0 - 0 - 0,0.000,0 - 0 - 0,0.000,0 - 2 - 1,1T,0 - 2 - 1
8,Arizona CardinalsCardinals,1,1,0,0.500,29,33,-4,1 - 1 - 0,0 - 0 - 0,0 - 0 - 0,0.000,1 - 0 - 0,1.000,0 - 1 - 0,1L,1 - 1 - 0
9,Carolina PanthersPanthers,1,2,0,0.333,55,50,5,1 - 1 - 0,0 - 1 - 0,0 - 0 - 0,0.000,0 - 0 - 0,0.000,1 - 2 - 0,1W,1 - 2 - 0
10,Cincinnati BengalsBengals,1,2,0,0.333,58,60,-2,0 - 1 - 0,1 - 1 - 0,0 - 0 - 0,0.000,0 - 1 - 0,0.000,1 - 1 - 0,2L,1 - 2 - 0
